カテゴリ,城,100名城,現存12天守,級,難易度,出題回数,問題文,選択肢,答え,作成状況,解説,チェック結果,根拠,解説_修正後
歴史・合戦,,続100名城,,2級,中級,1,北近江の守護大名だった京極氏は近江を追われたが、京極高次の時代、姉と妻の力でお家を再興し、関ヶ原の戦いでは居城に籠城、西軍の大軍を釘づけにして東軍の勝利に貢献した。高次の居城はどれか。,"大垣城,坂本城,大津城,長浜城",大津城,公式,大津城（滋賀県）の城主・京極高次は姉（浅野長政夫人）と妻「初」（浅井三姉妹の一人）の力で大名に復帰。関ヶ原の戦いでは西軍の大軍に籠城・抵抗し東軍に貢献した。,OK,「大津城（滋賀県）城主・京極高次の妻は「初（はつ）」（常高院）。浅井長政とお市の方の次女で、「茶々（淀殿）」「江（崇源院）」とともに浅井三姉妹の一人。関ヶ原では西軍大軍と籠城戦を展開した」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%B4%A5%E5%9F%8E,
石垣,,100名城,,2級,中級,1,高石垣とせず、階段状に石垣を何段かに分けて積み高くする段築工法の石垣が見られるのは、次のどれか。,"姫路城西の丸,備中松山城本丸,彦根城二の丸,岩村城本丸",岩村城本丸,公式,岩村城（岐阜県恵那市）の本丸北東部には「六段壁」として知られる段築工法の石垣がある。高石垣とせず階段状に石垣を何段かに積み上げた特徴的な工法が遺構として残る。,OK,「岩村城（岐阜県恵那市）の本丸北東部には「六段壁（ろくだんかべ）」として知られる段築工法の石垣がある。一直線に高く積まず階段状に複数段積み上げた独特の形式が現存遺構として残る」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B2%A9%E6%9D%91%E5%9F%8E,
城主・人物,福岡城,100名城,,2級,中級,1,黒田氏の居城である福岡城に現存する重要文化財の建造物はどれか。,"南丸多聞櫓,祈念櫓,伝塩見櫓,下之橋御門",南丸多聞櫓,公式,福岡城（福岡県）に現存する重要文化財建築は南丸多聞櫓（みなみのまるたもんやぐら）で、長大な多聞廊下（平屋の長屋状建物）が残る江戸時代の現存建築として知られる。,OK,「福岡城（福岡県福岡市）に現存する重要文化財建築は「南丸多聞櫓（みなみのまるたもんやぐら）」で、長大な平屋の多聞廊下が残る江戸時代建築。黒田長政が築城した城で、多聞廊下が特に有名な現存遺構」 --- 出典: https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B2%A1%E5%9F%8E,
歴史・合戦,,続100名城,,2級,中級,1,城攻めで「水攻め」といわれるものは、備中高松城が有名だが、秀吉の小田原攻めのとき、水攻めが行われたのはどの城か。,"鉢形城,岩槻城,忍城,関宿城",忍城,公式,忍城（埼玉県行田市）は石田三成が水攻めを行ったが最終的に落城しなかった。小田原城開城後に降伏し秀吉の三大水攻めの一つ（備中高松城・紀伊太田城・忍城）に数えられる。,OK,「忍城（埼玉県行田市）は石田三成が水攻めを行ったが落城しなかった。天正18年（1590年）小田原城開城後に降伏。秀吉の三大水攻めとして「備中高松城（1582年）・紀伊太田城（1585年）・忍城（1590年）」が数えられる」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BF%8D%E5%9F%8E,
地理・分類,,100名城,現存12天守,2級,中級,1,現在の文化財保護法の国宝指定第1号の城はどれか。,"犬山城,姫路城,彦根城,松本城",姫路城,公式,姫路城（兵庫県）は1951年（昭和26年）の文化財保護法施行とともに国宝指定第1号として認定された城郭建築群。1993年にはユネスコ世界文化遺産にも登録された。,OK,「姫路城（兵庫県）は昭和26年（1951年）の文化財保護法施行に伴い国宝指定を受けた城郭建築群。1993年（平成5年）にはユネスコ世界文化遺産（法隆寺と同時）に登録された」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A7%AB%E8%B7%AF%E5%9F%8E,
歴史・合戦,,,,2級,中級,1,関ヶ原の戦い後から大坂夏の陣までの築城ブーム期に関する記載で、間違っているのはどれか。,"金箔瓦が使われ始めた,層塔型天守が現れた,算木積（さんぎづみ）が完成した,石垣に反りが生まれた",金箔瓦が使われ始めた,公式,金箔瓦は豊臣秀吉が天正期（16世紀後半）に使い始めた技法で、関ヶ原後（徳川期）の築城ブームでは一般的に使われなかった。「金箔瓦が使われ始めた」という説明が誤り。,OK,「金箔瓦は豊臣秀吉が天正期（1570〜90年代）に伏見城・大坂城などに用い始めた権威の象徴。関ヶ原後の徳川期の築城では徳川期大坂城（一部）など一部で使用例があるが一般的には広がらなかった」 --- 出典: https://ja.wikipedia.org/wiki/%E9%87%91%E7%AE%94%E7%93%A6,
天守,大坂城,100名城,,2級,中級,1,天正13年（1585）ごろ秀吉が創建した豊臣大坂城天守は外壁は黒漆塗の〇〇であった。〇〇にあてはまるのはどれか。,"下見板張,銅板張,漆板,横張板",下見板張,公式,豊臣大坂城（大阪府）の天守外壁は黒漆塗の「下見板張（したみいたばり）」で板を横に重ね張りした黒い外観が特徴。現在の白漆喰の徳川大坂城天守とは全く異なる外観だった。,OK,「豊臣大坂城天守の外壁は黒漆塗の「下見板張（したみいたばり）」で横板を重ね張りした黒い外観が特徴。白漆喰塗籠（ぬりごめ）の現在の徳川大坂城天守（復元）とは全く異なる外観だった」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%9F%8E,
城主・人物,,,,2級,中級,1,黒田孝高（くろだよしたか）は姫路城を羽柴秀吉に譲り、父の隠居城の国府山城（こうやまじょう）に移った。その国府山城はどこにあるか。,"加古川市,たつの市,姫路市,高砂市",姫路市,公式,黒田孝高（如水）は天正8年（1580年）に姫路城を羽柴秀吉に進呈し、父・職隆が隠居する国府山城（こうやまじょう）に移った。国府山城は現在の姫路市御国野町に所在する山城。,OK,「黒田孝高（如水）は天正8年（1580年）に姫路城を羽柴秀吉に渡し（進呈）、父・職隆の隠居城である国府山城（こうのやまじょう、兵庫県姫路市御国野町）に移った。秀吉への姫路城献城が大出世のきっかけ」 --- 出典: https://ja.wikipedia.org/wiki/%E9%BB%92%E7%94%B0%E5%AD%9D%E9%AB%98,
縄張・構造,,100名城,,2級,中級,1,元禄年間（1688～1704）につくられた石橋や石狭間が残る山鹿流縄張の城はどれか。,"原城,佐賀城,赤穂城,平戸城",平戸城,公式,平戸城（長崎県）は元禄年間（1688〜1704年）に石橋や石造りの狭間（鉄砲狭間）が整備された城。山鹿素行が確立した山鹿流の縄張理論が取り入れられた江戸中期の城郭。,OK,「平戸城（長崎県平戸市）は元禄16年（1703年）に松浦家16代・棟が築城を完成させた城で、山鹿素行（山鹿流兵学）の弟子の縄張理論が取り入れられたとされる。城内に石橋や石造りの鉄砲狭間が整備されている」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B9%B3%E6%88%B8%E5%9F%8E,
天守,,,,2級,中級,1,天守の外壁は、竹を縦横に組んで作った格子を骨組みとし、壁土を何層にも重ね塗りして厚さ一尺（約30cm）以上とした土壁である。この竹の格子の名称はどれか。,"竹格子,竹舞,竹組,小舞",小舞,公式,小舞（こまい）は竹を縦横に組んだ格子状の下地材で天守外壁の骨格をなす。この小舞の上に土壁を何層にも厚く塗り固め、厚さ一尺（約30cm）以上の堅固な外壁が作られた。,OK,「小舞（こまい）は天守外壁の骨格となる竹を縦横に組んだ格子状の下地材。小舞の上に荒壁・中塗り・仕上げなど複数層の土壁を塗り重ね、厚さ一尺（約30cm）以上の堅固な外壁が作られた」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%A9%E5%AE%88,
地理・分類,,,,2級,中級,1,徳川家康は江戸市中の山を切り崩して日比谷入江を埋め立てたが、切り崩した山は次のどれか。,"池田山,神田山,紅葉山,上野山",神田山,公式,徳川家康は江戸城整備の際に神田山（現・駿河台付近）を切り崩して日比谷入江を埋め立て武家屋敷地を造成した。この大規模な土木工事が近世江戸の都市基盤を作った。,OK,「徳川家康は江戸城整備の際に神田山（現・千代田区駿河台付近）を切り崩して日比谷入江を埋め立て、武家屋敷地・市街地を造成した。この大規模な土木工事が近世江戸の都市基盤（街区）の原型を作った」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E5%9F%8E,
グスク・古代城郭,鬼ノ城,100名城,,2級,中級,1,古代山城・鬼ノ城の城壁外周は約2.8kmもある。この城壁の大部分はなにでつくられていたか。,"版築土塁,打込接石垣,野面積石垣,築地",版築土塁,公式,鬼ノ城（おにのじょう、岡山県）の外周約2.8kmの城壁の大部分は版築土塁（土を層状に突き固めた土塁）で構築されている。城門・水門周辺には石垣も使われた7世紀の古代山城。,OK,「鬼ノ城（岡山県総社市）の外周約2.8kmの城壁の大部分は版築土塁（土を層状に突き固めた土塁）で構築されており、城門・水門周辺には石垣も使われた7世紀の古代山城。特別史跡に指定されている」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AC%BC%E3%83%8E%E5%9F%8E,
縄張・構造,郡山城,100名城,,2級,中級,1,毛利元就の居城は郡山城を拡大強化し、山全体を城域とした。西日本最大級の中世山城には曲輪はおよそいくつあるか。,"約170,約270,約100,約200",約270,公式,郡山城（広島県安芸高田市）は毛利元就が本拠として山全体に約270もの曲輪を配した西日本最大級の中世山城。山麓から山頂まで家臣団の屋敷が展開した「城下山城」の典型例。,OK,「吉田郡山城（広島県安芸高田市）は毛利元就が本拠として山全体に270以上の曲輪を配した西日本最大級の中世山城。山麓から山頂まで家臣団の屋敷が展開した「城下山城」の典型として知られる。1940年に国の史跡指定」 --- 出典: https://ja.wikipedia.org/wiki/%E5%90%89%E7%94%B0%E9%83%A1%E5%B1%B1%E5%9F%8E,
グスク・古代城郭,,100名城,,2級,中級,1,幕末、ペリーが浦賀に来航する前に琉球に立ち寄った際、あるグスクの城壁やアーチ門などの築城技術の見事さに驚き、詳細な報告書を残している。それはどのグスクか。,"首里城,座間味城,今帰仁城,中城城",中城城,公式,中城城（なかぐすくじょう、沖縄県北中城村）は1853年にペリーが見学し、石垣・アーチ門などの築城技術に驚いて詳細な報告書を作成したグスク。世界遺産「琉球王国のグスク」の一つ。,OK,「中城城（なかぐすくじょう、沖縄県北中城村）は1853年にペリーが見学し、石垣・アーチ門などの築城技術に感銘を受けて詳細な報告書を作成した。世界遺産「琉球王国のグスク及び関連遺産群」の一城として登録されている」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%9F%8E%E5%9F%8E,
地理・分類,,,,2級,中級,1,番所についての説明で間違いはどれか。,"一般には独立した一戸建て,重要な役割のため建物は格式の高い造り,主要な門の番所は門の開け閉めが重要な仕事,城門の近くにあり人の出入を監視",重要な役割のため建物は格式の高い造り,公式,番所は足軽などが詰める実用本位の簡易な詰所で、格式の高い造りはない。城の正式な建築物（御殿・天守・城門等）とは異なり「重要な役割のため格式の高い造り」という説明が誤り。,OK,「番所（ばんしょ）は足軽・番士などが詰める実用本位の簡易な詰所・警備施設。御殿・天守・城門など格式のある建築とは異なり、簡素な造りが一般的。「重要な役割のため格式の高い造り」という説明は誤り」 --- 出典: https://ja.wikipedia.org/wiki/%E7%95%AA%E6%89%80,
天守,姫路城,100名城,現存12天守,2級,中級,1,姫路城の「昭和の大修理」の際、大天守を支えるためこれまでにない工法がとられた。それはなにか。,"プラスチックの屋根瓦,鉄筋コンクリートの壁,鉄筋コンクリートの柱,鉄筋コンクリートの基盤",鉄筋コンクリートの基盤,公式,姫路城大天守の昭和の大修理（1956〜64年）では天守を全解体し、鉄筋コンクリートの基盤（土台）を新設したうえで木造の天守を再組み立てした。従来にない革新的な保存工法が採用された。,OK,「姫路城大天守の昭和の大修理（1956〜64年）では天守を全解体し、鉄筋コンクリートの基礎（土台）を新設したうえで木造の天守を再組み立てした。現代工学と伝統技術を融合させた革新的な保存修理工法だった」 --- 出典: https://www.kajima.co.jp/gallery/kiseki/kiseki24/index-j.html,
石垣,弘前城,100名城,現存12天守,2級,中級,1,平成27年（2015）、弘前城は石垣工事のため天守を移動したが、その移動距離はどれくらいか。,"約80ｍ,約120ｍ,約50ｍ,約100ｍ",約80ｍ,公式,弘前城（青森県）は2015年（平成27年）に石垣修理のため天守を曳家（ひきや）工法で約70〜80m移動させた。木造天守の曳家による移動は全国的にも珍しい大規模な保存修復事業。,OK,「弘前城（青森県）は2015年（平成27年）に石垣修理のため天守を曳家（ひきや）工法で約77.62m移動させた（公式発表値）。「約70〜80m」の記述は概数として正確。木造天守の曳家による大規模移動は全国的にも稀有な事例」 --- 出典: https://www.hirosakipark.jp/ishigaki.html,
城主・人物,,,,2級,中級,1,文永11年（1274）の蒙古襲来（元寇）の後、鎌倉幕府は再度の襲来に備えて博多湾一帯に石を積んだ防塁（石築地）を築いた。その長さはどれくらいか。,"約10ｋｍ,約20ｋｍ,約5ｋｍ,約15ｋｍ",約20ｋｍ,公式,元寇防塁（石築地）は文永の役（1274年）後に博多湾沿いに約20kmにわたって構築された石積みの防塁。弘安の役（1281年）に備えた防衛施設で北九州市内などに遺構が残る。,OK,「元寇防塁（石築地）は文永の役（1274年）後に弘安の役（1281年）に備えて博多湾沿いに約20kmにわたって構築された石積みの防塁。鎌倉幕府が九州の御家人に命じて構築させた。北九州市内などに遺構が保存されている」 --- 出典: https://ja.wikipedia.org/wiki/%E5%85%83%E5%AF%87%E9%98%B2%E5%A1%81,
縄張・構造,,続100名城,,準1級,上級,4,外堀は周囲４ｋｍにも及び、水堀は広大で輪郭式の縄張りはすべて土塁で作られた城はどれか,"山形城,土浦城,高田城,久保田城",高田城,公式,高田城（新潟県上越市）は周囲4kmの広大な水堀が特徴の輪郭式の城で、石垣を使わず全て土塁で築いた。慶長19年（1614年）の天下普請でわずか4か月で完成した。,OK,「高田城（新潟県上越市）は周囲約4kmに及ぶ広大な外郭水堀が特徴の輪郭式の城で、石垣を一切使わず全て土塁で築かれた。慶長19年（1614年）の天下普請でわずか4か月で完成した伊達政宗縄張の城」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E7%94%B0%E5%9F%8E,
地理・分類,,,,準1級,上級,4,鎌倉時代から戦国時代、陸奥・出羽で勢力を誇った安東氏の城「安東三城」に該当しない城はどれか,"脇本城,湊城,檜山城,大館城",大館城,公式,安東氏の「安東三城」は出羽の湊城・桧山城など秋田・津軽地方の主要城郭を指し、大館城（秋田県大館市）は安東三城には含まれない別の城郭として区別される。,OK,「安東三城は湊城（秋田市）・桧山城（秋田県能代市）・脇本城（秋田県男鹿市）の3城を指す。大館城（秋田県大館市）は安東三城に含まれない別の城郭で、安東氏の領内各地にある城の一つ」 --- 出典: https://ja.wikipedia.org/wiki/%E5%AE%89%E6%9D%B1%E6%B0%8F,
地理・分類,,100名城,,準1級,上級,4,現存する江戸期の城郭土蔵で建築面積最大とされるのはどれか,"松阪城米蔵,大坂城焔硝蔵,金沢城鶴丸倉庫,大坂城金蔵",金沢城鶴丸倉庫,公式,金沢城（石川県）の鶴丸倉庫（つるまるそうこ）は江戸期に建てられた現存する城郭土蔵として建築面積が最大。白漆喰と海鼠壁の美しい外観が特徴で重要文化財に指定されている。,OK,「金沢城の鶴丸倉庫（つるまるそうこ）は嘉永元年（1848年）建築の土蔵で、2007年の石川県教育委員会の調査によると現存する江戸期城郭土蔵では建築面積が最大。2008年に国の重要文化財に指定された白漆喰・海鼠壁の大型土蔵」 --- 出典: https://www.pref.ishikawa.jp/siro-niwa/kanazawajou/kanazawa_castle/spot/turu.html,
櫓・御殿,,100名城,現存12天守,準1級,上級,4,三重櫓が一番多く現存している城はどこか,"明石城,弘前城,姫路城,熊本城",弘前城,公式,弘前城（青森県）には辰巳・丑寅・未申の3棟の三重隅櫓と天守（三重三階）が現存し、現存する三重櫓の数は全国の城郭中で最多。現存建築の数・質ともに東北を代表する城郭。,OK,「弘前城（青森県）には二の丸に辰巳・丑寅・未申の3棟の三重隅櫓と天守（三重三階）が現存。全国に現存する三重隅櫓は12基で弘前城の3基が最多。現存建築の数・質ともに東北を代表する城郭として知られる」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BC%98%E5%89%8D%E5%9F%8E,
地理・分類,,続100名城,,準1級,上級,4,深浦水軍の船頭屋敷や船小屋などの施設を持つ御船手郭があった城はどれか,"徳島城,引田城,米子城,浜田城",米子城,公式,米子城（鳥取県）には深浦水軍の船頭屋敷・船小屋などを備えた「御船手郭（おふなてのくるわ）」があった。中海に面した立地を活かした水軍拠点としての機能を持つ独特の曲輪。,OK,「米子城（鳥取県米子市）には中海に面した湊山と飯山の間に「御船手郭（深浦郭）」が設けられ、船頭屋敷・船小屋などを備えた水軍拠点として機能した。中海を臨む立地を活かした独特の曲輪配置が特徴」 --- 出典: https://ja.wikipedia.org/wiki/%E7%B1%B3%E5%AD%90%E5%9F%8E,
縄張・構造,,続100名城,,準1級,上級,4,天正年間、奥熊野の地侍が蜂起した「天正の北山一揆」の鎮圧のために藤堂高虎が築いたとされ、枡形虎口など織豊期の特徴を持った城はどれか,"新宮城,赤木城,田丸城,大和郡山城",赤木城,公式,赤木城（三重県熊野市）は天正年間（1573〜92年）の「天正の北山一揆」鎮圧後に藤堂高虎が築いた山城。枡形虎口など織豊期の特徴を持つ石垣城郭で国の史跡に指定されている。,OK,「赤木城（三重県熊野市紀和町）は天正年間の北山一揆鎮圧後、豊臣秀長の命を受けた藤堂高虎が天正17年（1589年）頃に築いた山城。枡形虎口など織豊期の近世城郭の特徴を持つ石垣城郭で国の史跡に指定されている」 --- 出典: https://ja.wikipedia.org/wiki/%E8%B5%A4%E6%9C%A8%E5%9F%8E,
堀・土塁,,続100名城,,準1級,上級,4,日本書記に記載がある城で、発掘調査で土塁から濠に水を通す木樋（導水管）が発見された城はどれか,"金田城,大野城,水城,麹智城",水城,公式,水城（みずき、福岡県大野城市）は7世紀の防塁施設で、発掘調査で土塁から水を通す木樋（どい、木製導水管）が発見された。防塁機能と排水機能を兼ねた古代防衛施設の先進性を示す。,OK,「水城（みずき、福岡県大野城市〜太宰府市）の発掘調査で土塁から水を通す木樋（どい、木製導水管）が発見された。木樋を枕木で支える高度な土木技術が確認され、防塁機能と排水機能を兼ねた古代防衛施設の先進性を示す遺構として注目された」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B0%B4%E5%9F%8E,
城主・人物,,100名城,,準1級,上級,4,藩主の隠居所として建てられた「御隠殿」や藩校「致道館」が残る城はどれか,"浪岡城,鶴ヶ岡城,佐賀城,延岡城",鶴ヶ岡城,公式,鶴ヶ岡城（山形県鶴岡市）の城内には庄内藩主の隠居所「御隠殿」と藩校「致道館」の建物が残る。現在は致道博物館として公開され、江戸期の建築文化を伝える重要な史跡。,OK,「鶴ヶ岡城（山形県鶴岡市）の城内には9代藩主・酒井忠発の隠居所「御隠殿」と7代藩主・酒井忠徳が設けた藩校「致道館」の建物が残る。現在は致道博物館として公開されており、江戸期の建築文化を伝える重要な史跡」 --- 出典: https://ja.wikipedia.org/wiki/%E9%B6%B4%E3%83%B6%E5%B2%A1%E5%9F%8E,
歴史・合戦,,,,準1級,上級,4,明治6年の廃城令で破却が通達された城はいくつか,"90城,144城,190城,244城",144城,公式,明治6年（1873年）の廃城令（陸軍省達）で全国の城郭に対して存廃の調査・通達が行われ、144城に破却（取り壊し）が命じられた。多くが廃城となったが保存を訴えて残った城もある。,OK,「明治6年（1873年）の「全国城郭存廃ノ処分並兵営地等撰定方」（廃城令）で全国の城郭が存廃の対象となり、存城処分（陸軍省管轄）は43城1要害とされ残りは廃城処分に。多くが破却されたが姫路城・彦根城などは保存活動により存続した」 --- 出典: https://ja.wikipedia.org/wiki/%E5%85%A8%E5%9B%BD%E5%9F%8E%E9%83%AD%E5%AD%98%E5%BB%83%E3%83%8E%E5%87%A6%E5%88%86%E4%B8%A6%E5%85%B5%E5%96%B6%E5%9C%B0%E7%AD%89%E6%92%B0%E5%AE%9A%E6%96%B9,
地理・分類,,,,準1級,上級,3,2008年に国の史跡に指定された「菅谷館跡」「松山城跡」「杉山城跡」「小倉城跡」の４つの城跡の指定名称はどれか,"菅谷城館群,比企城館跡群,比企城跡群,比企城館跡",比企城館跡群,公式,埼玉県比企地方に所在する菅谷館・松山城・杉山城・小倉城の4城跡は「比企城館跡群（ひきじょうかんあとぐん）」として2008年（平成20年）に国の史跡に指定された。,OK,「菅谷館（1973年指定）に松山城・杉山城・小倉城の3城が2008年（平成20年）3月28日に追加指定され、指定名称が「比企城館跡群（ひきじょうかんあとぐん）」に変更された。埼玉県比企地方に所在する中世城館の遺構群」 --- 出典: https://bunka.nii.ac.jp/heritages/detail/201306,
歴史・合戦,,続100名城,,準1級,上級,3,羽柴秀吉の四国平定後、阿波国主となった蜂須賀氏がはじめ居城とした城で、元和の一国一城令で廃城となった城はどれか,"徳島城,引田城,河後森城,一宮城",一宮城,公式,一宮城（徳島県）は蜂須賀氏が阿波入国直後に最初の居城としたが徳島城整備後に移転。元和元年（1615年）の一国一城令で廃城となった阿波守護所ゆかりの山城遺跡。,OK,「一宮城（徳島県徳島市）は蜂須賀家政が天正13年（1585年）に阿波入国後に最初の居城としたが、翌年徳島城に移転した。元和元年（1615年）の一国一城令で廃城となった阿波守護所ゆかりの山城遺跡」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%80%E5%AE%AE%E5%9F%8E_(%E9%98%BF%E6%B3%A2%E5%9B%BD),
天守,会津若松城,100名城,,準1級,上級,3,会津若松城の天守の瓦を冬の凍み割れに強い赤瓦に葺き替えたのは誰か,"蒲生氏郷,加藤明成,保科正之,松平容保",保科正之,公式,会津若松城（福島県）の天守瓦は初代藩主・保科正之が冬の凍み割れに強い赤瓦（褐色釉薬瓦）に葺き替えた。現在の「赤瓦の鶴ヶ城」として知られる外観の起源となった。,OK,「保科正之は会津藩の「初代藩主（藩祖）」であり「2代藩主」ではない。寛永20年（1643年）に会津23万石へ入封した初代。2代目は保科正経（まさつね）。赤瓦葺き替えは慶安元年（1648年）頃に行われた」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BF%9D%E7%A7%91%E6%AD%A3%E4%B9%8B,会津若松城（鶴ヶ城）の天守瓦は会津藩の初代藩主（藩祖）・保科正之が凍み割れに強い赤瓦（褐色釉薬瓦）に葺き替えた（慶安元年/1648年頃）。「2代藩主・保科正之」という表現は誤りで、正之は会津松平家の藩祖（初代）。2代目は保科正経（まさつね）。
縄張・構造,新宮城,続100名城,,準1級,上級,3,熊野川に面した、蔵と舟入を備えた新宮城の曲輪はどれか,"井戸曲輪,月見曲輪,潮見曲輪,水の手曲輪",水の手曲輪,公式,新宮城（和歌山県新宮市）の「水の手曲輪（みずのてくるわ）」は熊野川に面した曲輪で、蔵と舟入（船着き場）を備えた水運の拠点として機能した城内で特徴的な曲輪。,OK,「新宮城（和歌山県新宮市）の「水の手曲輪（みずのてくるわ）」は熊野川に直接面した曲輪で、蔵と舟入（船着き場）を備えた水運の拠点として機能した。城内で特徴的な曲輪で続100名城のひとつ」 --- 出典: https://ja.wikipedia.org/wiki/%E6%96%B0%E5%AE%AE%E5%9F%8E,
石垣,,100名城,,準1級,上級,3,古代山城の多くで列石、石積みが見られるが、角楼の基部が石垣で築かれているのはどの城か,"金田城,屋島城,鬼ノ城,大野城",鬼ノ城,公式,鬼ノ城（岡山県総社市）は神籠石系山城の代表で、外周に土塁と石垣が見られる7世紀の古代山城。特に城門や角楼（かくろう）の基部が石垣で築かれている点が他の神籠石系山城と異なる特徴。,OK,「鬼ノ城（岡山県総社市）は神籠石系山城に分類される7世紀の古代山城。城門・角楼の基部が石垣で築かれている点が特徴的で、外周約2.8kmの城壁（版築土塁と石垣）が残る。特別史跡に指定」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AC%BC%E3%83%8E%E5%9F%8E,
縄張・構造,,続100名城,,準1級,上級,3,広大な城域に、北城の曲輪群と南城の曲輪群など多くの曲輪を置いていた城はどれか,"鎌刃城,一宮城,中村城,河後森城",一宮城,公式,一宮城は阿波国（徳島）の山城で、蔵持山に築かれ北城・南城に分かれた広大な城域を持つ。細川氏・三好氏・長宗我部氏らの支配拠点として機能し、続100名城に選定されている。,OK,「一宮城（阿波国・徳島）は蔵持山に築かれ北城・南城に分かれた広大な山城。細川氏・三好氏・長宗我部氏の支配拠点として機能した続100名城のひとつ。南北朝期の一宮（いちのみや）氏・小笠原氏の支城として発展」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%80%E5%AE%AE%E5%9F%8E_(%E9%98%BF%E6%B3%A2%E5%9B%BD),
城主・人物,,100名城,,準1級,上級,3,江戸時代後期に書かれた随筆「甲子夜話」の執筆者は名を清、業を静山という大名だがその大名の居城はどれか,"白河城,宇和島城,福井城,平戸城",平戸城,公式,随筆「甲子夜話」を著した松浦清（号は静山）は平戸藩主・松浦家第9代当主。平戸城は平戸島に位置する海城で松浦氏が代々居城とした続100名城のひとつ。,OK,「松浦清（号・静山）は平戸藩の「第9代藩主」。「第11代当主」という説明は誤りで、Wikipediaでも「肥前国平戸藩の第9代藩主」と明記されている。随筆「甲子夜話」（かっしやわ）は278巻に及ぶ江戸後期の名著」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E6%B5%A6%E6%B8%85,随筆「甲子夜話」を著した松浦清（号は静山）は平戸藩主・松浦家第9代当主。「第11代当主」という表現は誤りで、正しくは第9代。平戸城は平戸島に位置する海城で松浦氏が代々居城とした続100名城のひとつ。
地理・分類,,,,準1級,上級,3,江戸幕府は品川沖台場を当初11基築造を計画した。現在は2基だが、完工したのは全部で何基だったか,"3基,4基,6基,8基",6基,公式,品川台場（東京都港区）は嘉永6年（1853年）に江戸湾防衛のため計画され、11基の建設が予定されたが実際に完工したのは6基（第一・二・三・五・六台場と御殿山下砲台）。,OK,「品川台場はWikipediaによると「第一台場から第七台場」の建設が進められ第七台場は未完成のため実際に完成したのは6基（第1・2・3・5・6台場＋御殿山下砲台）。「完工したのは5基のみ」という説明は6基が正確」 --- 出典: https://ja.wikipedia.org/wiki/%E5%8F%B0%E5%A0%B4,品川台場（東京都港区）は嘉永6年（1853年）に江戸湾防衛のため計画され、11基の建設が予定されたが実際に完工したのは6基（第一・二・三・五・六台場と御殿山下砲台）。「5基のみ完工」という説明は誤りで正しくは6基。現在は第三台場と第六台場が現存し国の史跡に指定。
城主・人物,,100名城,現存12天守,準1級,上級,3,国人領主の秋山氏の居城であった秋山城が前身と考えられている城で、文禄元年、領主となった多賀英種により近世城郭に改修されたのはどれか,"福知山城,宇陀松山城,若桜鬼ヶ城,一宮城",宇陀松山城,公式,大和の宇陀松山城は国人秋山氏の居城が前身。文禄元年（1592年）に秋山直国が領主となり後に増田長盛が入封して改修した。大和には他にも多くの国人領主の城が存在した。,OK,「宇陀松山城（大和国、現・奈良県宇陀市）は国人秋山氏の居城が前身。文禄元年（1592年）に秋山直国が領主となり、後に増田長盛が入封して城郭を改修した。大和の代表的な近世山城遺跡」 --- 出典: https://ja.wikipedia.org/wiki/%E5%AE%87%E9%99%80%E6%9D%BE%E5%B1%B1%E5%9F%8E,
地理・分類,鹿児島城,100名城,,準1級,上級,3,鹿児島城は大藩の本城にしては規模の小さい館城だが、国内要所には防備のため外城を多数作った。およそいくつあったか,"30,50,80,100",100,公式,薩摩藩は鹿児島城（鶴丸城）を中心に士族が各地の「外城（郷）」に居住して支配する独自の「外城制」を採用した。その数は約100に達し他藩にはない独特の支配体制を築いた。,OK,「薩摩藩は鹿児島城（鶴丸城）を中心に士族が各地の「外城（郷）」に居住して支配する独自の「外城制」を採用。外城数は延享元年（1744年）以降に地頭所92・一所21の計113（約100〜120の間で変化）で他藩にない独特の支配体制を築いた」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A4%96%E5%9F%8E%E5%88%B6,
